OBJECTID;OBJECTGUID;CHANGEID;ISACTIVE;LEVELID;CREATEDATE;UPDATEDATE
55329908;31cbfc16-d38d-4524-a718-094cae81aeb2;689633156;1;10;2017-02-08;2025-09-29
56484952;4c5fb154-c6a6-459d-a83e-df5346038eec;689695339;1;10;2019-01-24;2025-09-29
56799087;7f2f9532-c4c3-45c9-9efe-2281ea018574;689731962;1;11;2017-03-06;2025-09-30
72098583;e9259608-66c0-4f34-a18e-64dfd5a07349;689785780;1;10;2018-02-08;2025-10-01
75641597;ef4b6200-7ad9-446e-9b86-222b7eddcbb7;689746569;1;10;2017-12-17;2025-09-30
41794514;c738d313-75db-46f2-b622-288b789b743a;689731574;1;10;2011-12-12;2025-09-30
9646518;79a5b714-4bd5-4106-a484-39cfc4c7b852;689817235;1;11;2018-04-02;2025-10-01
79816129;f724e79e-64ba-46cf-b00d-3524a042db1a;689816218;1;10;2018-02-08;2025-10-01
60302886;522607bd-e208-4d5a-a31a-a40d8420374d;689694700;1;10;2019-03-22;2025-09-29
60350933;45edace3-382d-44d0-bb2d-b81da157036a;689696147;1;10;2019-03-22;2025-09-29
60395682;e8a47425-1d33-4a0c-af76-5e1a7c5b1fec;689694656;1;10;2019-03-22;2025-09-29
60404924;b79432fe-3d80-4d3e-9ad8-839f9adede19;689645015;1;10;2018-10-02;2025-09-29
61419590;8cbbed02-2485-4a34-9b6b-5cac9cac07c1;689636972;1;11;2018-08-13;2025-09-29
36432417;cc039675-1c57-4e02-8c24-1514f3d8580c;689755522;1;10;2019-01-23;2025-09-30
61627764;59aba630-9074-4e7b-bf79-69688c0131a5;689796899;1;10;2015-11-03;2025-10-01
34130413;e90027cd-0658-48a4-aef0-6763da6c3b9a;689781897;1;10;2019-07-10;2025-10-01
28278495;31640a12-dbfc-4c4e-ac87-14a764a5d4ff;689748711;1;10;2018-02-08;2025-09-30
30110609;be1abfc0-4cea-4928-b23c-74bc86139dad;689748201;1;10;2018-02-08;2025-09-30
49185057;16b0c4b4-fd3b-4566-9aa0-0b7dd7875ba6;689811760;1;10;2018-10-25;2025-10-01
63811007;ea3cc7f4-7d1b-43dc-a48e-e892be7ae273;689637374;1;10;2015-10-22;2025-09-29
63917355;baf0ecb6-7c38-4c03-bf03-2972df9b76fd;689636973;1;11;2018-08-13;2025-09-29
9647232;cbc890a0-8aa7-4677-8ca8-6a63dbd119be;689817057;1;11;2018-04-02;2025-10-01
69651819;11eb328d-2b2d-460d-953e-9e0ad83c1f40;689752724;1;10;2019-07-10;2025-09-30
65939439;4a0fc4b8-9216-4a64-a1fe-0c905f23f8da;689810971;1;11;2019-03-31;2025-10-01
65940141;6b8eaeae-9ef1-497d-8b0c-edbda7a5a1c0;689811020;1;11;2019-02-08;2025-10-01
66465856;a47aae81-caa3-4b13-ab6c-b994d65f41c8;689637508;1;10;2017-07-17;2025-09-29
66769958;751dc045-92d1-4d4b-b1ad-88cc5478d4a1;689732576;0;10;2018-11-22;2025-09-30
17425352;fc28bb15-cd21-4805-b50c-bab40a872c55;689808964;0;10;2019-07-10;2025-10-01
72330936;5383b43e-d2be-42ce-a070-1024754fd8f7;689808955;0;10;2017-02-08;2025-10-01
9647243;ce1d9203-b398-4669-ad00-0786c03dcad0;689817199;1;11;2018-04-02;2025-10-01
60381391;ebc6c782-7377-4ea5-a12b-d4aec34536d3;689694477;1;10;2019-03-22;2025-09-29
8843723;321904e5-292a-40c6-8181-614a827aa462;689745869;1;10;2017-04-24;2025-09-30
74314524;1accdb39-32b5-407d-912d-bb7214fcfeb4;689781871;1;10;2018-10-24;2025-10-01
59204786;f0da8843-c9d1-4a46-8137-c2a43896e347;689718472;0;10;2019-06-28;2025-09-30
56643274;12330558-5276-4e00-8e85-512955383267;689808566;1;10;2018-10-08;2025-10-01
69959634;a09d4da2-372f-4f58-89d1-158844d7f2b7;689632259;1;10;2019-02-04;2025-09-29
69976873;e466e45c-05da-46e0-a07d-3ceeaca27078;689632260;1;10;2019-02-04;2025-09-29
70630629;ba964934-fd76-48f5-821b-a897faa8830d;689644989;1;10;2018-10-06;2025-09-29
54708324;e17b2c48-df0c-46bd-b29a-959647d692b4;689746245;1;10;2019-07-10;2025-09-30
71813266;b99cb3bb-e986-463e-8a9b-a08c23d24d8c;689694197;1;11;2017-11-30;2025-09-29
72199305;b2d9ed3a-4a17-43f7-9137-72014ee1a965;689693792;1;10;2019-07-10;2025-09-29
72206947;810eef7b-41ad-45bf-95fb-8eead4daa631;689742830;1;11;2017-11-27;2025-09-30
73319824;a318466d-3f56-49e7-938c-d60e238c2b1d;689647002;1;10;2017-04-24;2025-09-29
66759146;e7454a69-236c-4da5-8ead-5af46d14ad91;689732670;0;10;2018-11-22;2025-09-30
103462095;c11cd46a-1c62-4ae0-8e92-d5566ff8a4ac;689712478;0;10;2022-01-14;2025-09-30
44745537;f61df67e-f208-45ad-875f-62fa2fe3fb3a;689794108;0;10;2019-07-10;2025-10-01
60610487;a849ee89-c869-4a71-b06b-b77b3dd52b9d;689811002;1;10;2017-12-18;2025-10-01
46443290;b596afad-09ca-42d6-a885-b047016e7478;689712912;1;10;2018-02-01;2025-09-30
78343328;522ddf96-6f40-4886-ad5e-4cddd7ef3ff3;689749277;1;10;2018-10-30;2025-09-30
1133883;1d3e349b-5032-4250-a142-3dff1dbd6a77;689756818;1;7;2017-12-10;2025-09-30
6547456;5fb4516b-5d86-4191-bdf3-0c6d55cd0046;689653329;1;10;2011-12-02;2025-09-29
79817041;775be481-f84c-4bfb-9f68-a6def79d7cb8;689807552;0;11;2018-06-01;2025-10-01
