ID;OBJECTID;OBJECTGUID;CHANGEID;NUMBER;ROOMTYPE;OPERTYPEID;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTUAL;ISACTIVE
154344;28619441;e6352f94-8f00-4f0d-8300-c4b1877b4513;43990126;1;1;10;0;50687710;2025-09-30;2017-05-02;2025-09-30;0;0
154343;28619315;e2b109cb-366b-41f2-82c7-a3c6178346c2;43989969;2;1;10;0;50687711;2025-09-30;2017-05-02;2025-09-30;0;0
154339;28619248;ac725306-371c-4354-909a-2a3796e6ce56;43989883;13;1;10;0;50687714;2025-09-30;2017-05-02;2025-09-30;0;0
154324;28618091;55ed7793-f644-44ad-97ec-20f98e84d2bc;43988317;2;1;10;0;50687742;2025-09-30;2017-05-02;2025-09-30;0;0
50687573;174918597;36683421-ee8c-449a-a93a-dc6ed372e744;689644003;50;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
154333;28618945;d5d286b4-f1d7-4f6c-b0a5-338dca893e0c;43989478;1;1;10;0;50687585;2025-09-29;2017-05-02;2025-09-29;0;0
154328;28618171;248ce80d-42c4-4ecf-9ef9-633cd926617c;43988414;3;1;10;0;50687586;2025-09-29;2017-05-02;2025-09-29;0;0
154332;28618854;bd1bd236-2601-4917-9f69-6d240136e944;43989344;7;1;10;0;50687587;2025-09-29;2017-05-02;2025-09-29;0;0
154327;28618148;1b11b0ed-7384-4d3d-97f0-5f3222578fbd;43988384;9;1;10;0;50687588;2025-09-29;2017-05-02;2025-09-29;0;0
154329;28618470;52c53d56-9bb3-498c-b5d8-8bd01af868f9;43988825;12;1;10;0;50687618;2025-09-29;2017-05-02;2025-09-29;0;0
154331;28618839;6b8f502d-8b9a-4414-baae-e359bff38ec8;43989326;13;1;10;0;50687619;2025-09-29;2017-05-02;2025-09-29;0;0
50687714;28619248;ac725306-371c-4354-909a-2a3796e6ce56;689739973;13;1;42;154339;50687713;2025-09-30;2025-09-30;2079-06-06;1;0
50687711;28619315;e2b109cb-366b-41f2-82c7-a3c6178346c2;689739825;2;1;42;154343;50687710;2025-09-30;2025-09-30;2079-06-06;1;0
154342;28619270;b35b547f-cb8c-4f01-ad12-9159a704c8bc;43989913;15;1;10;0;50687715;2025-09-30;2017-05-02;2025-09-30;0;0
50687731;174967951;fb400ca2-d8df-4387-b620-b1da7a280445;689753057;5/6;1;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
50687741;28617793;1cb95868-663f-4e29-a96e-698bd5262951;689756841;3;1;42;154321;50687740;2025-09-30;2025-09-30;2079-06-06;1;0
50687764;52617373;82a54bc1-b65a-4ebc-b4e3-e7b97696ae43;689786978;6;1;30;286450;0;2025-10-01;2025-10-01;2079-06-06;1;0
50687765;52617858;99e91275-283e-457e-878d-6656275abdcd;689786979;7;1;30;286458;0;2025-10-01;2025-10-01;2079-06-06;1;0
50687766;52617866;cc8d49a6-6c88-4726-ac3b-1b111848778b;689786980;5;1;30;286459;0;2025-10-01;2025-10-01;2079-06-06;1;0
50687743;28618097;ade74a5d-a0ea-4cee-957e-fe81e629f069;689756953;4/5;1;40;154325;;2025-09-30;2025-09-30;2079-06-06;1;1
154323;28618069;3a5a7045-2861-4022-948d-e0e1ee800016;43988287;5;1;10;0;50687744;2025-09-30;2017-05-02;2025-09-30;0;0
