ID;OBJECTID;OBJECTGUID;CHANGEID;NUMBER;ROOMTYPE;OPERTYPEID;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTUAL;ISACTIVE
50687500;47826768;fdce5db5-6e03-4994-a5ec-64637baf235c;689633992;1;1;30;259021;0;2025-09-29;2025-09-29;2079-06-06;1;0
50687501;42823332;2ee8c1ae-da75-4c7b-b4b6-fcfc817ebc2d;689634035;5;1;30;232357;0;2025-09-29;2025-09-29;2079-06-06;1;0
50687502;42823555;64b8991d-43a8-4f5a-924d-68a1e55d4d23;689634036;8;1;30;232358;0;2025-09-29;2025-09-29;2079-06-06;1;0
50687503;42823008;0893f64d-ec13-4581-a288-6df6a48ec51f;689634037;3;1;30;232352;0;2025-09-29;2025-09-29;2079-06-06;1;0
50687504;42823199;1e86e4a2-8188-43b4-be3e-d8eaf50d788d;689634038;4;1;30;232355;0;2025-09-29;2025-09-29;2079-06-06;1;0
50687505;42823565;840c0c06-2418-41b4-90d7-d4be5d30855d;689634039;9;1;30;232359;0;2025-09-29;2025-09-29;2079-06-06;1;0
50687506;42823672;870b6613-6621-43ec-a964-96560e6e3ffd;689634040;7;1;30;232360;0;2025-09-29;2025-09-29;2079-06-06;1;0
50687507;42823677;8bc3187f-a643-414a-8d70-5fd69f6e3d53;689634041;6;1;30;232361;0;2025-09-29;2025-09-29;2079-06-06;1;0
50687614;174933262;0c4e9d3a-9b4c-4b7a-a5ab-44e813221aa5;689674597;2;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
50641283;165690983;d6992050-e0ae-4529-9aa0-dc54ad4345ff;602698722;4;1;10;0;50687772;2025-10-01;2024-09-27;2025-10-01;0;0
259837;47989888;320137ca-e24a-4974-9397-9cd50c40e1e2;72136356;1;1;10;0;50687773;2025-10-01;1900-01-01;2025-10-01;0;0
259838;47989913;dd4ca3e1-25ec-4a17-8d95-3a6fe8b55806;72136390;2;1;10;0;50687774;2025-10-01;1900-01-01;2025-10-01;0;0
259889;47992358;14ce9466-1034-4753-8305-06ca23ba99fb;72139986;2;1;10;0;50687775;2025-10-01;1900-01-01;2025-10-01;0;0
259891;47992370;9a85e3af-bfa8-49f7-9146-7addbfd23c2b;72140004;1;1;10;0;50687776;2025-10-01;1900-01-01;2025-10-01;0;0
50687820;174988470;143e71d2-acc2-4bca-829e-6826f0910243;689813274;1;1;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
