ID;OBJECTID;OBJECTGUID;CHANGEID;NUMBER;ROOMTYPE;OPERTYPEID;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTUAL;ISACTIVE
50687512;174917903;796dfad9-b258-4c84-bac0-daee5506170d;689642794;17;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
50687514;174917905;590fe19a-2a8c-4155-aeb3-28e457c099c0;689642796;15;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
50687516;174917907;841c0f05-d035-42bf-b8a2-b08757cee6e9;689642798;13;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
50687518;174917909;524f4814-6eb5-4d3a-9919-84534b4466f4;689642800;11;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
50687520;174917911;6ca6e7c5-4f9a-4e37-83f1-19e51f370b3b;689642802;9;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
50687522;174917913;24c673f7-03f3-4df4-bbee-4c6b990b32f3;689642804;7;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
50687524;174917915;2ccce7db-ab35-440f-a73f-8b2b13482a62;689642806;5;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
50687526;174917917;86d25e7d-3a2c-4a1d-bdb7-9ad6275df93b;689642808;3;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
50687528;174917919;d90830dd-0bd5-46b3-acb4-5daab24bca27;689642810;1;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
50687530;174917940;10162a36-62b4-4703-a9be-0b40ce9814c5;689642839;17;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
50687532;174917942;1b763ce1-ce88-4628-904e-15b1601b92e8;689642841;15;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
50687534;174917944;053f3b23-7bc0-4d87-97d4-af55f8182951;689642843;13;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
50687536;174917946;3e8e153f-882d-4395-a9fb-8bed93fc4e46;689642845;11;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
50687538;174917948;650f0ee5-66cd-49d2-9d99-5dfb181f2764;689642847;9;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
50687540;174917950;1b88aab5-c94e-4caf-893f-9526a20610d1;689642849;6;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
50687542;174917952;6444eac2-bfba-4a19-89a7-d0e087545200;689642851;4;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
50687544;174917954;5d6d263e-d85d-44f6-8cf0-01d5952bfe50;689642853;2;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
50687546;174917956;b6ab36c4-15e0-437f-9e3c-609ab5610fa0;689642858;16;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
50687548;174917958;ce83cf50-380f-4279-914e-a562186c1d08;689642860;14;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
50687550;174917960;6f560437-2b84-4a70-aeaa-64c83b55218a;689642862;11;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
50687552;174917962;9b66c32e-2eee-4a33-a265-76d82aa778f7;689642864;9;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
50687554;174917964;796bcaa2-2918-48e0-add1-a6b5131d4368;689642866;7;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
50687556;174917966;2a3fe642-96e3-4772-8981-7c66b8893e86;689642868;5;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
50687558;174917968;175dd98a-fdb3-475f-84c2-e6f432fedba8;689642870;3;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
50687706;174960644;26e15a87-1f7f-4009-8755-60d528e52598;689736621;30;1;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
50687823;174989807;724e184e-79dd-45c1-912a-871bf34ae1ae;689816047;56;1;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
50687825;174989897;cb5cc9c5-cc79-46dd-9407-e2b534d280b2;689816192;72;1;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
50687839;174991563;894e8700-2f83-47cf-8e06-4afaeb06e4c3;689819244;74;1;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
