ID;OBJECTID;OBJECTGUID;CHANGEID;NAME;TYPENAME;LEVEL;OPERTYPEID;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTUAL;ISACTIVE
1926842;1207172;525f1e32-778c-437d-a5ed-d453be199f62;218892907;КСТ N 25;тер.;7;40;1495002;52189666;2025-09-30;2021-09-30;2025-09-30;0;0
1491865;1204682;ade18392-7422-4d07-adc2-edc53653b209;3305628;КСТ N6;тер.;7;10;0;52189639;2025-09-30;2017-11-14;2025-09-30;0;0
1494416;1206715;ef5e44f4-2c07-44d7-9c0e-63f0a4e9b0cf;3309434;КСТ N 10;тер.;7;10;0;52189640;2025-09-30;2018-10-16;2025-09-30;0;0
1495304;1207398;9b3bf7c9-daf2-4856-8f5a-c0a826978025;3310785;КСТ N 19;тер.;7;10;0;52189378;2025-09-29;2018-10-18;2025-09-29;0;0
52189317;174915875;4d3d0600-45e9-4945-a62e-2dd911ad2a83;689638211;потребительского гаражного кооператива № 5;тер.;7;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
52189401;1212262;12a54d20-5e1c-4133-8360-9ee49dbdc065;689664213;КСТ № 11;тер.;7;20;1501439;;2025-09-29;2025-09-29;2079-06-06;1;1
1479008;1194578;160adff9-04dc-4486-8f08-23bfb57b1d41;3283848;Гаражный участок N23;тер;7;50;1478982;52189486;2025-09-29;2016-09-28;2025-09-29;0;0
1926718;1207330;bdf6e502-f647-44d1-9ed1-a48920c9ce8a;218860876;КСТ N 4;тер.;7;40;1495230;52189627;2025-09-30;2021-09-29;2025-09-30;0;0
52189639;1204682;ade18392-7422-4d07-adc2-edc53653b209;689721160;КСТ № 6;тер.;7;20;1491865;;2025-09-30;2025-09-30;2079-06-06;1;1
52189641;1206578;b8a2632a-695d-4df2-9327-a5b183af87c1;689721194;КСТ № 13;тер.;7;20;1494242;;2025-09-30;2025-09-30;2079-06-06;1;1
52189642;1207029;ffb5ae85-bf31-4132-a9b3-8f97a2561caa;689721221;КСТ № 18;тер.;7;20;1494819;;2025-09-30;2025-09-30;2079-06-06;1;1
1493155;1205702;505269cc-6524-45b3-a36b-dc018b9e7b4e;3307514;КСТ N 108;тер.;7;10;0;52189667;2025-09-30;2018-10-15;2025-09-30;0;0
1493476;1205955;4a2bbdd9-b625-4cb4-9194-da5758bc4d20;3308026;КСТ N 115;тер.;7;10;0;52189668;2025-09-30;2018-10-15;2025-09-30;0;0
1926840;1205787;e756aee6-c893-4dae-bfd7-5239b08ccb38;218892901;КСТ N 15;тер.;7;40;1493266;52189669;2025-09-30;2021-09-30;2025-09-30;0;0
52189670;1202425;0ccda53c-347f-4b25-b2cd-8fc4e6dd1cfa;689723394;КСТ № 7;тер.;7;20;1488998;;2025-09-30;2025-09-30;2079-06-06;1;1
52189673;1207083;550cab21-7911-462b-b26b-593170745e50;689723430;КСТ № 128;тер.;7;20;1494891;;2025-09-30;2025-09-30;2079-06-06;1;1
52189928;174977977;f74c2bda-39c6-457b-8b47-96cf3e5071ef;689792482;181-й;км;8;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
