ID;OBJECTID;OBJECTGUID;CHANGEID;NAME;TYPENAME;LEVEL;OPERTYPEID;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTUAL;ISACTIVE
1078871;872264;02e595dd-fbe7-497d-be31-9685105d7aef;2413590;Лесная;ул;8;51;1078813;52189911;2025-10-01;2016-09-29;2025-10-01;0;0
1031421;848463;8f9dc16f-368c-4dc3-bceb-7bcd4f099e73;2311458;Берёзки;тер. СНТ;7;10;0;52189359;2025-09-29;2018-10-25;2025-09-29;0;0
52189356;174920083;79749b9c-93cf-4c63-a1ad-94fe58cfab18;689646255;Рождественский;мкр.;7;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
52189359;848463;8f9dc16f-368c-4dc3-bceb-7bcd4f099e73;689649505;СНТ Березки;тер.;7;20;1031421;;2025-09-29;2025-09-29;2079-06-06;1;1
52189527;812278;6bf522b5-3b7b-47d6-85a7-28cc25e89026;689694343;ГСК № 58;тер.;7;20;983224;;2025-09-29;2025-09-29;2079-06-06;1;1
52189540;174944216;61b4ad5d-30dd-4a23-a121-368314009231;689697958;Таежная;ул.;8;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
52189545;174944288;e04a7125-8f79-4007-81bf-db609298ab47;689698266;Донская;ул.;8;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
52189547;174944290;43d96eb0-8344-4a5f-8f26-bfab9493fb1d;689698268;Волжская;ул.;8;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
52189549;174944292;c67374d5-2676-4664-8647-7ac0b3d3d600;689698270;Ангарская;ул.;8;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
52189551;174944294;84a86b17-3e7e-4ca4-a306-beebfb7fbbc5;689698272;Палубная;ул.;8;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
52189553;174944296;1f0365af-8438-4bd5-843b-de8912f92122;689698274;Мачтовая;ул.;8;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
52189555;174944298;456903d1-f515-4f21-93f7-4c549dcb0fd2;689698276;Песчаная;ул.;8;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
52189557;174944300;5b981a00-0b7b-4802-aca4-9e7ffacf0693;689698278;Жемчужный;б-р;8;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
52189630;174952791;6e354c86-106d-4202-959d-d143f70b296e;689718131;Жилино-1;тер.;7;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
52189911;872264;02e595dd-fbe7-497d-be31-9685105d7aef;689788717;Лесная;ул;8;30;1078871;0;2025-10-01;2025-10-01;2079-06-06;1;0
52190022;883918;5ee9fe66-83d4-4857-89b6-7923030341cc;689803689;садоводческого некоммерческого товарищества Пущинское ГОМ;тер.;7;20;1097192;;2025-10-01;2025-10-01;2079-06-06;1;1
52190026;174983745;13227795-1976-4e02-8c15-e31234205db4;689804176;Магистральная;тер.;7;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
52190029;174983771;d28e5f5e-2185-4504-9e7f-a0f9e89e5b34;689804328;Магистральная;тер.;7;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
991024;818720;4bfa75e1-770c-4d17-8b92-3ea5366a7d68;2167100;Юбилейный-2;гск;8;1;0;52190192;2025-10-01;1900-01-01;2025-10-01;0;0
52190227;174992573;c0942ccd-d6dd-4e2b-b1b2-fe2051658c14;689822375;Виноградная;ул.;8;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
