OBJECTID;OBJECTGUID;CHANGEID;ISACTIVE;LEVELID;CREATEDATE;UPDATEDATE
86111824;141a217e-33d3-448e-8c0d-3fa747cd82ba;689796895;0;9;2019-06-03;2025-10-01
90217264;0491d48b-5356-4c47-b292-753937f55947;689669804;0;9;2019-12-17;2025-09-29
10458006;214bde69-f738-4911-972f-45f2e3eb99fc;689709141;0;10;2017-02-21;2025-09-30
26789755;2a15da20-852c-4607-8c33-d7daba80509f;689638812;0;10;2017-03-16;2025-09-29
92217156;fec2d480-9894-493d-beaa-89f6c4dce21d;689679284;1;9;2017-02-20;2025-09-29
10459138;2d0e67a8-83c4-4787-8f38-573128d30308;689709144;0;10;2017-02-21;2025-09-30
49719890;294f71c1-d814-4a14-9865-801a5e0e60be;689636625;0;10;2019-06-24;2025-09-29
45543351;24de314e-0c5a-4f50-b771-094fe3ee0320;689757125;0;10;2017-12-17;2025-09-30
94812473;ff20a551-ccb9-44fe-987a-d068a3779e01;689799260;1;9;2019-11-01;2025-10-01
102476424;d5048655-8f4d-4083-88dd-6fee4dc45f6b;689756941;0;10;2021-09-20;2025-09-30
6070683;de82e074-f131-4b4b-b6c0-610645cf876a;689638805;0;11;2019-04-08;2025-09-29
96335989;e8308a94-ef92-4d92-9e78-5fc0466e88b1;689709090;0;11;2020-04-13;2025-09-30
76305005;636b7ffb-f5de-4bcb-8107-acc31528c23c;689756882;0;10;2016-03-05;2025-09-30
71798460;6b707a56-fb23-444c-8f47-37acd075a7d2;689652952;0;10;2019-06-24;2025-09-29
74745959;0e8037ce-9e9f-43b0-b7b2-f03d55bafa5e;689742651;0;10;2019-06-11;2025-09-30
101983618;8f89e5db-330a-47f0-bef9-aad9caa007ed;689670101;0;9;2021-07-27;2025-09-29
101983622;db3c22cd-0cb3-4a56-8eeb-832393452492;689670104;0;9;2021-07-27;2025-09-29
95305287;6abbecba-1177-4580-b939-cfde21b12293;689786738;0;10;2020-01-23;2025-10-01
88028026;e9b980e0-0085-4bf4-831f-c658552c6b81;689636413;1;9;2018-10-23;2025-09-29
174914957;9e973a65-fc31-45a3-b68f-86fb5a56a9a2;689636518;1;9;2025-09-29;2025-09-29
174914959;0956838f-78bc-40c8-8a35-a4b62a7ec950;689636520;1;9;2025-09-29;2025-09-29
174914961;54f25e25-24b1-4c66-816c-f6b5a16c1f25;689636522;1;9;2025-09-29;2025-09-29
174914963;05daba9f-92f2-48ff-b1a7-f46728525472;689636524;1;9;2025-09-29;2025-09-29
174914965;223e548f-2995-4075-84d7-9074f0524e84;689636526;1;9;2025-09-29;2025-09-29
174914967;04a36d14-5226-44c7-994b-8fe8adafaf94;689636528;1;9;2025-09-29;2025-09-29
174914969;e702141d-96e3-408d-a0b0-2b60209deb74;689636530;1;9;2025-09-29;2025-09-29
174914971;174554a3-f0f9-4fb5-9bc5-e8c233acb093;689636532;1;9;2025-09-29;2025-09-29
174914973;ad9d85a5-9e8f-4232-9424-545b48fcef28;689636534;1;9;2025-09-29;2025-09-29
174914975;6d9aff29-131e-4660-b8ee-be9d94217286;689636536;1;9;2025-09-29;2025-09-29
174914977;033dee06-d785-45be-a7df-c0c08bd9a338;689636538;1;9;2025-09-29;2025-09-29
87724466;e57d6a24-e6f5-4da1-8606-76df90778b10;689636564;1;9;2017-02-25;2025-09-29
60874569;ad5a09c3-c669-49e0-be79-3dd1dbaeed63;689636615;0;11;2017-02-19;2025-09-29
174915898;004fec59-1462-461e-b9c2-d26f1a3d49fb;689638281;1;10;2025-09-29;2025-09-29
174916155;33dc4d7c-2b87-4ab9-b3f7-3557fb68383d;689638591;1;9;2025-09-29;2025-09-29
174916157;359a6305-3574-4c7a-8249-76f0b612fa1c;689638593;1;9;2025-09-29;2025-09-29
174916159;c0e9758f-d3f1-4f15-80f3-d481dc289dd2;689638595;1;9;2025-09-29;2025-09-29
174916161;f9f79629-996b-4017-9915-14cb4539c9b4;689638597;1;9;2025-09-29;2025-09-29
174916163;cb57f029-25ec-4294-b881-14c29f30c021;689638599;1;9;2025-09-29;2025-09-29
174916165;d1633eb9-1466-4bd7-8ead-155ca466d483;689638601;1;9;2025-09-29;2025-09-29
174916167;4027b237-3319-4aac-bd36-de76a19ff945;689638603;1;9;2025-09-29;2025-09-29
174916183;01dc3f0d-709b-4b22-903d-e0f9aea19f2d;689638628;1;10;2025-09-29;2025-09-29
174916185;4ff3a06d-72b5-48be-a8a8-7e005dee56c9;689638630;1;10;2025-09-29;2025-09-29
99037800;6a13c179-0815-451f-b590-84fa586abe1e;689638671;1;10;2020-11-11;2025-09-29
174916205;cc40794f-cf77-4524-a568-42ca5f664ea0;689638682;1;9;2025-09-29;2025-09-29
174916312;733f6bc5-b271-4f3b-b45f-166ddd5bc4e5;689638801;1;9;2025-09-29;2025-09-29
6108908;6fb155e1-428c-4d09-965b-4ebd5ed7b65b;689638841;0;11;2019-04-08;2025-09-29
14129732;22f4ef0b-63e5-42a8-bc64-0aea5e987615;689638953;0;11;2019-04-08;2025-09-29
174916430;dd9cfbe8-a195-4f5c-885b-3e4ba9f15488;689638965;1;9;2025-09-29;2025-09-29
43578913;bb3ea08c-3b6b-493a-a488-9afe6c59dc57;689639089;0;11;2019-04-08;2025-09-29
174916562;5408834b-ed8b-4abb-9903-09c7d4430f79;689639110;1;10;2025-09-29;2025-09-29
10479247;7404b62e-b14d-4c56-b3d7-fd9582b896c5;689709132;0;10;2017-02-21;2025-09-30
174918063;cb52c816-1ba0-443b-bde2-5c2850aed27e;689642996;1;9;2025-09-29;2025-09-29
174918068;4e7ebd48-3428-48c6-be91-2569e8f197dd;689643003;1;9;2025-09-29;2025-09-29
174918070;d6fa4059-f922-4c06-baa9-a12dda2ed5a3;689643005;1;9;2025-09-29;2025-09-29
174918072;00c5bac5-475d-4385-a8f7-7abd64591dc7;689643007;1;9;2025-09-29;2025-09-29
174918074;9bd8f03d-e82f-44bf-914d-aab746ba4052;689643009;1;9;2025-09-29;2025-09-29
174918076;695d9eed-5853-4f31-a4da-5e95e8a658b5;689643011;1;9;2025-09-29;2025-09-29
174918078;dccf80de-77f6-4d97-ac9c-45f401658fd2;689643013;1;9;2025-09-29;2025-09-29
174918080;3c081036-759f-4ca2-96f9-c8fe085ad2fa;689643015;1;9;2025-09-29;2025-09-29
174918082;805204b7-0ea6-4f17-b4ff-a19555022d84;689643017;1;9;2025-09-29;2025-09-29
174918084;9a328684-1706-4f1c-9b3f-a05909139fa6;689643019;1;9;2025-09-29;2025-09-29
174918086;f8ba2785-ef53-4c1a-8315-7bff1739bdef;689643021;1;9;2025-09-29;2025-09-29
174918088;f4281d35-4f08-449d-a642-c9bc96a1311e;689643023;1;9;2025-09-29;2025-09-29
174918090;5a93cbc9-f062-4021-9e7c-d4f2ea9eb323;689643025;1;9;2025-09-29;2025-09-29
174918092;65c2453e-a6d5-447a-8a58-fa737bbe2949;689643027;1;9;2025-09-29;2025-09-29
174918094;f3185332-7dc0-47be-974a-01d992a12afb;689643029;1;9;2025-09-29;2025-09-29
174918096;f40e1c44-fc8a-415e-8aa9-df68616721ba;689643031;1;9;2025-09-29;2025-09-29
174918098;7b98faae-6e1a-4f0c-8858-afca095e4782;689643033;1;9;2025-09-29;2025-09-29
174918100;a6d683f5-173e-43d1-87bd-33e741c7b390;689643035;1;9;2025-09-29;2025-09-29
174918102;30b75df0-3284-47b1-b43d-8f6c32d0e6ba;689643037;1;9;2025-09-29;2025-09-29
174918104;717650a0-41ed-47f9-b2e3-e61961ee9c3f;689643039;1;9;2025-09-29;2025-09-29
174918119;8d88845c-10e4-494b-b4b5-42e6ce8f769e;689643059;1;9;2025-09-29;2025-09-29
174918334;9207c689-5df9-4917-bcdb-0170d9a4d1e4;689643451;1;9;2025-09-29;2025-09-29
174918336;33300350-82da-4ee9-85c9-4b566ddcf2dc;689643453;1;9;2025-09-29;2025-09-29
174918338;cc240a92-ad03-40a0-9e95-8ad4546a50f6;689643455;1;9;2025-09-29;2025-09-29
174866216;45a4ac7c-8b9c-4de9-b11c-79e939fb94a6;689644166;1;10;2025-09-25;2025-09-29
26220240;1f2cfbf3-ff01-4353-becd-21254df457bf;689649578;0;10;2019-06-24;2025-09-29
56956708;aa9a344d-8d3e-4734-aa0d-141bef6ea8c1;689649918;0;10;2017-12-17;2025-09-29
56958259;ac1971be-2d83-429a-b3d5-1a48560242b5;689649920;0;10;2017-12-17;2025-09-29
56962892;72ce7f0d-ee92-48a4-b1c8-93e2a4e1877c;689649930;0;10;2017-03-16;2025-09-29
56963182;2fa4d8c8-4108-425b-a2ea-a248b1219b5a;689649932;0;10;2017-03-16;2025-09-29
56963853;ce3ca948-f647-4b72-bf12-f0378a64d660;689649935;0;10;2017-03-16;2025-09-29
56964544;b45611ad-0d20-40cb-b75e-116dd8f0c894;689649938;0;10;2019-12-14;2025-09-29
63035670;fb1d52f7-b224-4f02-8e9e-f215cb4e1bb5;689653361;1;10;2017-04-23;2025-09-29
68696471;e3f3795c-2d51-47b9-9df2-3cd78a9ca8a9;689664222;1;10;2017-04-24;2025-09-29
51734034;a6a7ce2a-baa9-4154-a004-b0ff6db16362;689664284;0;11;2017-02-19;2025-09-29
92228594;ec367dbc-f27f-4ce1-9c7f-412ea1028c56;689669889;0;9;2019-11-05;2025-09-29
174930768;ffd2ae13-d291-42ed-890f-f5f56cccdddb;689670187;1;9;2025-09-29;2025-09-29
174930846;4aa7730a-52ea-44bf-9ccc-4ea2721f2288;689670330;1;10;2025-09-29;2025-09-29
59848308;18e305bc-1199-479f-ba31-f80bb4a8333c;689672018;0;11;2017-02-19;2025-09-29
59849500;6c4c0668-e8d8-4e03-bed8-942ad594e877;689672020;0;11;2017-02-19;2025-09-29
59852214;cfecd713-e5e6-4192-bdc1-167caa9516aa;689672022;0;11;2017-02-19;2025-09-29
96915933;2d7847d1-4b23-49da-8ff5-fb7843e51eeb;689666947;0;10;2020-05-27;2025-09-29
174929459;096db2b4-9513-48f8-bf85-af174b8e8f97;689667569;1;10;2025-09-29;2025-09-29
88513602;d44f1a51-a92a-4885-bb03-e6098cc0c25b;689668717;0;9;2017-02-18;2025-09-29
68823710;5129547e-6ee4-4c5f-9c3c-85c86852fa44;689668787;0;10;2019-07-14;2025-09-29
68826348;0a3890f8-a12c-4727-bff7-970b5f530c5c;689668789;0;10;2019-07-14;2025-09-29
174930160;d9a931b8-bd1f-40ea-82d4-54e171cf74d7;689668906;1;9;2025-09-29;2025-09-29
22680544;79064915-d62a-4f96-84b7-7557ad1278fa;689668993;1;10;2017-11-21;2025-09-29
22684689;2619858a-95c6-4309-b50c-a0d988de4d1a;689668998;1;10;2017-11-20;2025-09-29
3395396;aa83a3e7-d95f-4a2f-8f75-b8b78261397d;689786713;1;10;2018-02-15;2025-10-01
174933264;b777ea14-1c4d-4ffd-9781-8b4c69115742;689674599;1;10;2025-09-29;2025-09-29
56738154;6b6bc956-e220-4e9c-bd46-f64e4799b7e1;689675174;0;11;2017-05-23;2025-09-29
174935093;3b7b3968-2717-4674-bbcc-6003b60afed3;689678986;1;9;2025-09-29;2025-09-29
90422373;917d3aea-2a3b-4877-9481-c8f30a245c7c;689679569;1;9;2017-02-20;2025-09-29
304193;02f4d2f2-5fd6-4c78-a1dc-424dfbf4230f;689668989;1;8;2017-10-08;2025-09-29
56740068;e590a251-1674-4b11-ad64-b1e3fe021f9e;689675106;0;10;2019-06-11;2025-09-29
87650910;784baae2-8c57-43f2-b7c6-38af3187f4ca;689679280;1;9;2017-02-21;2025-09-29
89258074;01643413-314a-480d-8b70-293f88af902d;689753080;1;9;2017-02-19;2025-09-30
174940930;3e123a0c-461e-4171-bb26-f61851cffd86;689691865;1;9;2025-09-29;2025-09-29
174941398;0c46359a-3cc1-4152-89cd-7ec442afa407;689692915;1;8;2025-09-29;2025-09-29
174942031;95b2280c-b397-4300-b058-d8725bdcb291;689694132;1;8;2025-09-29;2025-09-29
7654127;93393604-43c4-44f1-a3e8-05a5019bc6ce;689638966;1;11;2017-09-12;2025-09-29
250376;1e74b4ab-39dc-4892-9887-acc4165f96c8;689701170;1;8;2019-03-21;2025-09-30
49035268;52848840-0f3e-482f-a555-ff37b201ba72;689709063;0;10;2019-07-14;2025-09-30
25985549;289fa3c7-9514-4f85-97e2-2b7f4d70ea0e;689709088;0;10;2019-05-13;2025-09-30
174949601;71db9788-9ccc-4f3f-ab10-fa55c738e06c;689709400;1;11;2025-09-30;2025-09-30
44506406;fd5eb7b4-7d6a-42e2-a8de-cf6264f89c7d;689709533;0;10;2019-06-11;2025-09-30
174949682;807a5659-182b-4b4e-a964-df2ab38739bd;689709560;1;10;2025-09-30;2025-09-30
174949683;c4ed8256-b1f2-42a1-ac13-ebd93bc51bda;689709571;1;10;2025-09-30;2025-09-30
253313;8e1d4a85-1679-466a-800e-a4cc2a29ac34;689710911;1;8;2014-01-05;2025-09-30
72760893;2c828bab-bb13-4d83-b887-48cd192c2962;689725829;0;10;2016-03-03;2025-09-30
72801109;8b4519d0-1332-48fd-9e33-fd3aeb7582d7;689725835;0;10;2016-03-03;2025-09-30
174958020;45acf801-5ab4-4d70-a0d6-ea909273ee6b;689730040;1;10;2025-09-30;2025-09-30
55548959;1832ad8c-d993-46c8-839c-e64fa427baa0;689730073;0;10;2017-02-21;2025-09-30
55686452;a6d92330-8f82-4761-9ac9-02b3f266cc50;689730077;0;10;2017-12-17;2025-09-30
55540532;db9c9d90-9117-43a4-9575-8079ea0aab95;689730086;0;10;2017-02-21;2025-09-30
55546913;c7246c89-f8c8-4d32-9764-a94ef264516e;689730096;0;10;2017-02-21;2025-09-30
174958911;00b50c8a-5a45-4b98-865b-c931a7c6d17f;689732940;1;10;2025-09-30;2025-09-30
174959312;99bf479e-e82e-4292-8e9f-34677416c581;689733863;1;10;2025-09-30;2025-09-30
72764200;b0795671-f930-40a6-8a74-5dcc18713cef;689725804;0;10;2016-03-03;2025-09-30
72765577;6ae4b127-0876-40fd-89ec-6ee08b127805;689725806;0;10;2016-03-04;2025-09-30
72766340;36783416-35ee-4457-8421-899789d18b08;689725808;0;10;2016-03-03;2025-09-30
72780367;825b6979-c160-4c4d-9aa6-c96bf298657e;689725812;0;10;2016-03-03;2025-09-30
72754161;4d8f82cd-e7fe-458f-95e9-0e2f9ae43ab1;689725821;0;10;2017-12-17;2025-09-30
51930481;e6fc26a5-d33c-47ee-9cf3-e2585da5d56a;689735283;0;11;2017-02-10;2025-09-30
174960285;d4c94339-23fa-4b1f-8ab1-a2993178c303;689735468;1;10;2025-09-30;2025-09-30
174960323;80b93920-0237-46b3-aa17-4861b79408e8;689735613;1;10;2025-09-30;2025-09-30
96115265;aac18b6d-760b-4fc1-a13c-372358d63379;689736636;0;11;2020-03-26;2025-09-30
174961028;728be7f0-1f20-4920-b9cf-840f7daba225;689737459;1;9;2025-09-30;2025-09-30
174961030;5b0fe9db-6e72-49cf-bc61-a79b3d7f5297;689737461;1;9;2025-09-30;2025-09-30
174961032;fd3412b6-419f-4367-be3e-e95606b0eb06;689737463;1;9;2025-09-30;2025-09-30
174961034;2b62af9a-3225-4814-88e9-f732ccbb266b;689737465;1;9;2025-09-30;2025-09-30
174961036;7562bf59-db49-4bb6-b1d2-95202c5a1416;689737467;1;9;2025-09-30;2025-09-30
174961038;4d177c6b-6978-4a73-b7a9-15da5311c579;689737469;1;9;2025-09-30;2025-09-30
174961040;c96e2096-442f-40ae-83d8-92d79147a0e6;689737471;1;9;2025-09-30;2025-09-30
174961042;6a6da4cc-decf-466a-b5fe-a3b41dab7912;689737473;1;9;2025-09-30;2025-09-30
174961044;5cca26e7-9f47-486b-907e-499be181dd92;689737475;1;9;2025-09-30;2025-09-30
174961046;75d90536-5d94-4b2a-85d4-f9e8b81d049a;689737477;1;9;2025-09-30;2025-09-30
72605579;9c93b3f5-4cb9-4bb7-96d2-2a0eb51f65d8;689737675;1;10;2019-12-14;2025-09-30
72621182;ed24d7fd-58af-439d-84f9-123c89088197;689737680;1;10;2018-01-31;2025-09-30
98361624;19519ae4-a876-4470-bdea-99897a04033d;689745273;0;11;2020-09-21;2025-09-30
85838626;018fd225-d7f2-4738-8b0a-1623cdc2d622;689796830;1;9;2017-03-02;2025-10-01
99030190;b69aaaca-d13b-46cd-a50f-bb9a70ac7eb9;689742740;1;10;2020-11-11;2025-09-30
174963683;c75fc619-4b99-484c-b266-331711d6d3f7;689742856;1;9;2025-09-30;2025-09-30
174963685;2d1426a9-06c7-4f1b-8b46-72e130ef05d2;689742858;1;9;2025-09-30;2025-09-30
174963687;73602fec-dfda-4e4d-96ac-51db7057ef91;689742860;1;9;2025-09-30;2025-09-30
174963689;e508fb42-3784-4fe2-8399-f046535c5264;689742862;1;9;2025-09-30;2025-09-30
174963691;7a20897f-7a39-4e48-9bf9-e2a5063058f8;689742864;1;9;2025-09-30;2025-09-30
