ID;OBJECTID;PARENTOBJID;CHANGEID;REGIONCODE;AREACODE;CITYCODE;PLACECODE;PLANCODE;STREETCODE;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTIVE;PATH
247108115;167485391;156840778;689820623;90;0;2;11;0;6;238000517;0;2025-10-01;2025-10-01;2079-06-06;1;155635744.155635756.155708853.156840778.167485391
247108116;167485416;156840778;689820624;90;0;2;11;0;6;238000542;0;2025-10-01;2025-10-01;2079-06-06;1;155635744.155635756.155708853.156840778.167485416
247108117;167485480;156840778;689820625;90;0;2;11;0;6;238000606;0;2025-10-01;2025-10-01;2079-06-06;1;155635744.155635756.155708853.156840778.167485480
247108118;167485606;156840778;689820626;90;0;2;11;0;6;238000732;0;2025-10-01;2025-10-01;2079-06-06;1;155635744.155635756.155708853.156840778.167485606
247108119;167485651;156840778;689820627;90;0;2;11;0;6;238000777;0;2025-10-01;2025-10-01;2079-06-06;1;155635744.155635756.155708853.156840778.167485651
247108121;169048839;156840778;689820630;90;0;2;11;0;6;239597380;0;2025-10-01;2025-10-01;2079-06-06;1;155635744.155635756.155708853.156840778.169048839
247108123;169048841;156840778;689820631;90;0;2;11;0;6;239597382;0;2025-10-01;2025-10-01;2079-06-06;1;155635744.155635756.155708853.156840778.169048841
239597385;169048844;157761524;610186037;90;0;2;11;0;13;0;247108124;2025-10-01;2024-12-23;2025-10-01;0;155635744.155635756.155708853.157761524.169048844
239597387;169048846;157761524;610186039;90;0;2;11;0;13;0;247108125;2025-10-01;2024-12-23;2025-10-01;0;155635744.155635756.155708853.157761524.169048846
239597389;169048848;157761524;610186041;90;0;2;11;0;13;0;247108126;2025-10-01;2024-12-23;2025-10-01;0;155635744.155635756.155708853.157761524.169048848
239597390;169048849;157761524;610186042;90;0;2;11;0;13;0;247108127;2025-10-01;2024-12-23;2025-10-01;0;155635744.155635756.155708853.157761524.169048849
239597392;169048851;157761524;610186044;90;0;2;11;0;13;0;247108128;2025-10-01;2024-12-23;2025-10-01;0;155635744.155635756.155708853.157761524.169048851
247108130;168161923;156840778;689820638;90;0;2;11;0;6;238697787;0;2025-10-01;2025-10-01;2079-06-06;1;155635744.155635756.155708853.156840778.168161923
247108131;168161933;156840778;689820639;90;0;2;11;0;6;238697798;0;2025-10-01;2025-10-01;2079-06-06;1;155635744.155635756.155708853.156840778.168161933
