CHANGEID;OBJECTID;ADROBJECTID;OPERTYPEID;NDOCID;CHANGEDATE
689716599;49167980;059eb2f6-b08b-45da-b5d4-ea6433a4414a;20;27421032;2025-09-30
689718681;174953054;030350e8-509d-4c49-bbfa-366005b5f598;10;27421483;2025-09-30
689719601;37516639;5c6c85af-fa1d-4db5-ae77-b49c456b9d86;20;27421714;2025-09-30
689732999;64962535;65983145-374f-4a26-a076-9a07040f9804;20;27423566;2025-09-30
689723027;174955085;bfe81668-c446-42f1-8811-8bf6198ac0f1;10;27422319;2025-09-30
689723079;174955123;c1aef253-f0de-4c2e-b8f8-5e48fcec6095;10;27422330;2025-09-30
689742284;500121;ed746dcf-b8a3-4c54-90c3-50e91c82a35a;20;26480465;2025-09-30
689742389;174834301;32f56021-9657-4c71-92f5-a9ae3a92211d;20;27425592;2025-09-30
689742646;174963534;837ce905-3d03-4864-a2f6-de12c45f8c90;10;27425671;2025-09-30
689743007;174963786;9a948c60-7cb8-441c-b6ca-e2afec006934;10;27425777;2025-09-30
689743671;174964232;e2900240-60ad-41f9-8302-3ed795fb7839;10;27425943;2025-09-30
689744805;10156772;938d0ad3-8c7e-4da5-8af4-dda8eff6164c;20;27426214;2025-09-30
689744988;174964673;8791b6ce-b97b-4722-93d4-f3fbc1281c4a;10;27426259;2025-09-30
689744990;174964675;68ae0f96-92b3-4703-a513-f450b5ae6746;10;27426259;2025-09-30
689744992;174964677;f26b7e73-c6c1-4371-b33e-f1cb9c1049a6;10;27426259;2025-09-30
689744994;174964679;033a727c-be68-46f5-90c8-b918e685df86;10;27426259;2025-09-30
689744996;174964681;33750c1c-4c34-42e8-81d0-51c92d3c13e5;10;27426259;2025-09-30
689744998;174964683;3b26f634-b43f-45b7-aa80-73dc8197484f;10;27426259;2025-09-30
689745000;174964685;4c6ef37d-f2c0-4124-9e62-e3a11ab012a1;10;27426259;2025-09-30
689745002;174964687;8f96f50f-e297-418d-a0ba-abbc03a3c299;10;27426259;2025-09-30
689745004;174964689;2886f2a8-5a5a-4d78-9511-05318edf1dd4;10;27426259;2025-09-30
689745006;174964691;6e5843ca-67fb-4efa-af42-7cded090236b;10;27426259;2025-09-30
689745008;174964693;730b2176-1885-475b-a8f2-7215e2ae996d;10;27426259;2025-09-30
689745010;174964695;184709c8-77cd-462f-87bd-a2c171091d46;10;27426259;2025-09-30
689745012;174964697;298c0bce-b68f-4ca9-bae0-e0129f6a4504;10;27426259;2025-09-30
689749176;3057329;06161b41-aacb-40fb-8cf8-05ad055b4674;50;27427177;2025-09-30
689752109;52762461;1c86ac75-f3fd-4d57-a0ea-d8613540df63;20;27427861;2025-09-30
689752410;174967614;ccd1a961-b960-4965-bba0-ecd3d759f9e6;10;27427945;2025-09-30
689752806;174967809;0f586c00-5ef1-40fc-80c0-e735f3a68e0c;10;27428057;2025-09-30
689753355;174968097;e71b390a-1599-44ee-96e5-b3b13516683f;10;27428198;2025-09-30
689754522;174968469;5e642f45-5dc8-4ebc-a953-be45b0930abd;10;27427922;2025-09-30
