ID;LEVEL;NAME;SHORTNAME;DESC;UPDATEDATE;STARTDATE;ENDDATE;ISACTIVE
56;6;Дачный поселок;дп;Дачный поселок;2025-04-05;1900-01-01;2019-02-14;false
434;6;Деревня;д.;Деревня;2025-04-15;2022-09-30;2079-06-06;true
69;6;ж/д останов. (обгонный) пункт;ж/д_оп;ж/д остановочный (обгонный) пункт;2025-04-05;1900-01-01;2015-11-05;false
67;6;Железнодорожная будка;ж/д_будка;Железнодорожная будка;2025-04-05;1900-01-01;2015-11-05;false
61;6;Железнодорожная казарма;ж/д к-ма;Железнодорожная казарма;2025-04-15;2019-02-14;2079-06-06;true
66;6;Железнодорожная платформа;ж/д пл-ма;Железнодорожная платформа;2025-04-15;2015-11-05;2079-06-06;true
65;6;Железнодорожная площадка;ж/д пл-ка;Железнодорожная площадка;1900-01-01;1900-01-01;2079-06-06;true
73;6;Железнодорожная станция;ж/д_ст;Железнодорожная станция;2025-04-15;1900-01-01;2022-09-30;false
59;6;Железнодорожный блокпост;ж/д бл-ст;Железнодорожный блокпост;2019-02-14;2019-02-14;2079-06-06;true
63;6;Железнодорожный остановочный пункт;ж/д о.п.;Железнодорожный остановочный пункт;2019-02-14;2019-02-14;2079-06-06;true
64;6;Железнодорожный путевой пост;ж/д п.п.;Железнодорожный путевой пост;2019-02-14;2019-02-14;2079-06-06;true
436;6;Железнодорожный разъезд;ж/д рзд;Железнодорожный разъезд;2025-04-15;2022-09-30;2025-04-05;false
74;6;Жилая зона;жилзона;Жилая зона;2025-04-05;1900-01-01;2015-11-05;false
75;6;Жилой район;жилрайон;Жилой район;2025-04-05;1900-01-01;2015-11-05;false
437;6;Заимка;з-ка;Заимка;2025-04-15;2022-09-30;2079-06-06;true
78;6;Казарма;казарма;Казарма;2025-04-05;1900-01-01;2015-11-05;false
80;6;Кишлак;киш.;Кишлак;2019-02-14;2019-02-14;2079-06-06;true
438;6;Курортный поселок;кп.;Курортный поселок;2025-04-15;2022-09-30;2079-06-06;true
83;6;Леспромхоз;лпх;Леспромхоз;2025-04-05;1900-01-01;2015-11-05;false
459;6;Массив;м-в;Массив;2025-04-15;2025-04-05;2025-04-05;false
439;6;Местечко;м-ко;Местечко;2025-04-15;2022-09-30;2079-06-06;true
460;6;Микрорайон;мкр.;Микрорайон;2025-04-15;2025-04-05;2025-04-05;false
87;6;Населенный пункт;нп;Населенный пункт;2025-04-05;1900-01-01;2019-02-14;false
89;6;Остров;остров;Остров;2025-04-05;1900-01-01;2015-11-05;false
97;6;Погост;погост;Погост;2025-04-05;1900-01-01;2015-11-05;false
90;6;Поселок;п;Поселок;2025-04-05;1900-01-01;2022-09-30;false
96;6;Поселок городского типа;пгт.;Поселок городского типа;2025-04-15;2015-11-05;2079-06-06;true
91;6;Поселок при железнодорожной станции;п. ж/д ст.;Поселок при железнодорожной станции;2019-02-14;2019-02-14;2079-06-06;true
441;6;Поселок разъезда;пос.рзд.;Поселок разъезда;2025-04-05;2022-09-30;2025-04-05;false
99;6;Починок;починок;Починок;2025-04-05;1900-01-01;2022-09-30;false
92;6;Почтовое отделение;п/о;Почтовое отделение;2025-04-05;1900-01-01;2015-11-05;false
443;6;Рабочий поселок;рп.;Рабочий поселок;2025-04-15;2022-09-30;2079-06-06;true
