ID;NAME;SHORTNAME;DESC;ISACTIVE;UPDATEDATE;STARTDATE;ENDDATE
1;Корпус;к.;Корпус;true;2015-12-25;2015-12-25;2079-06-06
3;Сооружение;соор.;Сооружение;true;2015-12-25;2015-12-25;2079-06-06
