ID;NAME;DESC;ISACTIVE;STARTDATE;ENDDATE;UPDATEDATE
0;Не определено;Не определено;true;1900-01-01;2015-11-05;2011-01-01
2;Помещение;Помещение;true;1900-01-01;2079-06-06;2011-01-01
