ID;OBJECTID;OBJECTGUID;CHANGEID;HOUSENUM;ADDNUM1;HOUSETYPE;ADDTYPE1;OPERTYPEID;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTUAL;ISACTIVE
54629914;34189040;2dde7a97-7c03-4a14-bb8b-d895c0b4c116;52073883;307;1;1;2;20;20338687;129180529;2025-09-30;2019-06-18;2025-09-30;0;0
54854736;2813461;310a5e28-c533-4c04-9f93-34ce14400c39;6037048;23а;;2;;20;821895;129173152;2025-09-29;2019-03-15;2025-09-29;0;0
55031838;33207340;338924cd-148a-4bb6-966f-991dbacb2f02;50640784;136;1;1;2;20;19748773;129169484;2025-09-29;2019-04-02;2025-09-29;0;0
56311655;83873273;459d2e49-8d18-43f2-aede-a51d7066f94d;124598298;1А/1;1;1;2;20;50786756;129189109;2025-10-01;2019-07-10;2025-10-01;0;0
57536388;34186418;56e7b093-166a-4935-8fbf-ba7cc4abd53e;52067219;301;1;1;2;20;20337055;129179654;2025-09-30;2019-06-18;2025-09-30;0;0
57820140;33207702;5ae75231-a20a-4896-8bdd-d5a87c8bdd8a;50643659;90;1;1;2;20;19748948;129170926;2025-09-29;2019-04-02;2025-09-29;0;0
58272285;33206401;61451fe9-1230-4539-8c74-09cf63efda36;50639508;198;1;1;2;20;19748150;129170454;2025-09-29;2019-04-02;2025-09-29;0;0
58972595;33206637;6b2af2a8-42e7-40d7-91c1-34c2a302b9de;50640258;175;1;1;2;20;19748311;129170434;2025-09-29;2019-04-02;2025-09-29;0;0
59340086;34185703;70587bae-f298-45ca-950a-815a677938ca;52066515;305;1;1;2;20;20336396;129179660;2025-09-30;2019-06-18;2025-09-30;0;0
59885299;62879389;780a0593-0564-4503-aa3d-0ecb4dbd0537;93875907;26;;2;;20;37817408;129166574;2025-09-29;2019-07-19;2025-09-29;0;0
60399571;34274946;7f4ad327-28fe-4ed2-b930-c991ba712026;52201691;675;1;1;2;20;20397745;129179489;2025-09-30;2019-06-18;2025-09-30;0;0
61136257;33226281;89b3c69a-7ead-4466-9a2f-57daea36d5aa;50668917;92;2;1;2;20;19761212;129170929;2025-09-29;2019-06-26;2025-09-29;0;0
62261699;34283196;9993b5eb-26b8-4e25-a2e5-dc9833e336a5;52214431;642;1;1;2;20;20403772;129179500;2025-09-30;2019-06-18;2025-09-30;0;0
62782588;34280528;a0eba989-b139-46fa-8004-18dff6729f3b;52209820;3;1;1;2;20;20401743;129179647;2025-09-30;2019-06-18;2025-09-30;0;0
64760523;34275642;bcde04a8-7322-4a12-bbf8-2cd70c773a32;52202952;678;1;1;2;20;20398334;129179484;2025-09-30;2019-06-18;2025-09-30;0;0
65711460;33218604;ca43b86f-3bf6-4e14-833c-e18fd3fd8ce8;50657651;150;1;1;2;20;19756449;129169882;2025-09-29;2019-04-02;2025-09-29;0;0
66035364;33215115;cedac28b-601d-4b1d-9e97-ef5aff1f30f2;50652772;142;1;1;2;20;19754030;129169488;2025-09-29;2019-04-02;2025-09-29;0;0
66971331;71724085;dc149ee0-aced-4ec6-a677-32b61cb595ed;106824572;107;1;1;2;20;43270143;129172664;2025-09-29;2019-06-26;2025-09-29;0;0
66995588;34274201;dc6e3b08-3b6d-4ca4-9649-7badc86392ae;52200403;587;1;1;2;20;20397158;129179529;2025-09-30;2019-06-18;2025-09-30;0;0
67140307;5064603;de7922dc-b426-4a75-9977-5ec6e894d234;9285478;2а;;2;;20;2162250;129173150;2025-09-29;2016-10-04;2025-09-29;0;0
67720307;34268240;e6add7af-bc5d-4a3d-a85f-743fdc47cebb;52191277;465;1;1;2;20;20392915;129179662;2025-09-30;2019-06-18;2025-09-30;0;0
68001156;59353556;eaa4af47-e039-4ee4-bb1f-0d8c7d246217;88663382;21;;2;;20;35543820;129166573;2025-09-29;2019-04-05;2025-09-29;0;0
68943459;34195907;f7f025b4-8975-4779-8f65-be8b7ced5a50;52082238;584;1;1;2;20;20344081;129179250;2025-09-30;2019-06-18;2025-09-30;0;0
69046692;34268927;f967d727-f019-489f-b2e4-a269f783fe95;52192909;601;1;1;2;20;20393431;129179516;2025-09-30;2019-06-18;2025-09-30;0;0
604047;2457836;452249ce-6670-4dab-8d6e-1f99216567b6;5514401;18;1;1;2;10;0;129189116;2025-10-01;2019-09-26;2025-10-01;0;0
69557545;96202972;7578c71a-b65a-4355-a8c5-0a81610dbb6c;143401928;68;2;1;2;10;0;129178800;2025-09-30;2020-04-01;2025-09-30;0;0
