ID;OBJECTID;OBJECTGUID;CHANGEID;HOUSENUM;ADDNUM1;HOUSETYPE;ADDTYPE1;OPERTYPEID;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTUAL;ISACTIVE
56263193;19380437;44ef0873-691f-4611-b49f-6f7f0a416091;30407313;1Б;1Б;1;3;20;11221289;129165722;2025-09-29;2017-05-15;2025-09-29;0;0
59199226;60778260;6e5ec937-9bae-4ac3-80d1-cc4b82c1ef1b;90743100;39;;2;;20;36420971;129164918;2025-09-29;2017-05-15;2025-09-29;0;0
60643414;82576024;82c2b85f-934a-4cdf-b962-826d6896fe41;122677233;21;;2;;20;49967766;129164865;2025-09-29;2014-01-04;2025-09-29;0;0
66155548;57423808;d0938939-40df-4236-95de-c12d7d93b651;85857857;21;;2;;20;34371501;129173345;2025-09-29;2017-05-15;2025-09-29;0;0
69085821;42492891;f9f5b33b-626c-44d1-824c-42f82df8d92b;64186875;17;;2;;20;25380267;129166445;2025-09-29;2017-05-15;2025-09-29;0;0
5125607;9823072;45cf025d-ce23-4f27-9880-d55d0a09550c;16263577;128;;2;;10;0;129177109;2025-09-30;2017-07-04;2025-09-30;0;0
6319589;11790774;630a7c7e-3658-435c-bd84-c05153ddb2f0;19123647;57б;3;2;2;10;0;129171126;2025-09-29;2015-10-06;2025-09-29;0;0
53679782;19376431;2077a7ae-52cf-4e04-ab1d-264253eb3d8b;30401077;1;;2;;20;11218530;129165724;2025-09-29;2017-05-15;2025-09-29;0;0
129164865;82576024;82c2b85f-934a-4cdf-b962-826d6896fe41;689629657;25;;2;;20;60643414;;2025-09-29;2025-09-29;2079-06-06;1;1
129164943;174912459;7f0feee9-3d64-4a13-8e69-41e9ca096078;689630650;1;;5;;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
40680726;67531935;5b3c0be0-14a0-4b91-908a-fe96574a91b9;100681771;152;б;2;4;10;0;129164952;2025-09-29;1975-01-01;2025-09-29;0;0
129165122;174913018;41fc5f37-4a13-4361-8899-73a68c7fddbf;689631901;8;;2;;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
25763247;43128647;5ed075d9-ccd2-4391-b0f2-bc8fae414606;65107577;23;;2;;10;0;129165311;2025-09-29;2005-05-29;2025-09-29;0;0
129165326;14873297;0e0b6f5e-507d-45c9-9b95-85587f280254;689633349;61а;;5;;20;71962382;;2025-09-29;2025-09-29;2079-06-06;1;1
129165722;19380437;44ef0873-691f-4611-b49f-6f7f0a416091;689635124;1Б;1Б;1;3;30;56263193;0;2025-09-29;2025-09-29;2079-06-06;1;0
72264115;19379830;84621175-4051-4dd6-a3a0-06603593d756;280543583;1А;;7;;20;60759022;129165732;2025-09-29;2022-03-30;2025-09-29;0;0
129166399;174917335;b8aced5c-8c76-4647-86d2-3e30710cac26;689640690;47/1;;2;;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
42753190;70885240;0ee3544d-d765-45e0-8057-f7343f4724da;105603839;28;;2;;10;0;129166408;2025-09-29;1950-01-01;2025-09-29;0;0
129166409;174917352;13445f7f-4dd1-4d4e-8eac-0c37c83e50d2;689640722;47/3;;2;;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
42718548;70819850;fb74c71a-7712-4c75-ba59-433b8262a785;105511488;28/1;;2;;10;0;129166412;2025-09-29;1950-01-01;2025-09-29;0;0
129166420;174917372;6e17bb53-1853-4123-b77b-aa80cbfabff4;689640756;47/5;;2;;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129166445;42492891;f9f5b33b-626c-44d1-824c-42f82df8d92b;689640783;17;;5;;20;69085821;;2025-09-29;2025-09-29;2079-06-06;1;1
129166457;42489778;805f47ad-446f-4712-b928-b0e9a2266e54;689640831;17;а;2;4;30;60475725;0;2025-09-29;2025-09-29;2079-06-06;1;0
129166900;174918860;7d9e61fd-d340-4b03-9ac8-057ddcba6aeb;689644363;17Б;;5;;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129167270;174920049;749d8cf9-305f-4878-afac-a540f6216cf9;689646197;65/1;;2;;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
