ID;OBJECTID;OBJECTGUID;CHANGEID;NAME;TYPENAME;LEVEL;OPERTYPEID;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTUAL;ISACTIVE
76189;64139;a035dc49-1dcf-4050-9597-6b0b60fbb433;174286;СТ Тулунжа;тер;7;50;76148;52189358;2025-09-29;2016-09-28;2025-09-29;0;0
52189913;174976229;64df6819-d801-4c91-a601-0fc9c7685302;689789323;Престиж;тер. ДНТ;7;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
