ID;OBJECTID;OBJECTGUID;CHANGEID;NUMBER;OPERTYPEID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTUAL;ISACTIVE
74191280;174364151;5eec1f2b-4d84-4829-8dd2-0f855200c7d8;689740375;143;30;0;2025-09-30;2025-09-30;2079-06-06;1;0
74192151;174963619;507ec94f-2c46-4a98-9671-38bcece5264a;689742777;96;10;0;2025-09-30;2025-09-30;2079-06-06;1;1
74192186;174963659;44c3010b-3984-4e09-8a28-ee1db18c2166;689742827;97;10;0;2025-09-30;2025-09-30;2079-06-06;1;1
74192220;85133181;92fe113f-f9e5-4942-b37a-45a0c195bfb9;689742866;10А3;30;0;2025-09-30;2025-09-30;2079-06-06;1;0
74192221;85573299;44dbf76f-21a3-440e-8396-6793292e308f;689742867;Земельный участок 30А5;30;0;2025-09-30;2025-09-30;2079-06-06;1;0
1023677;85573844;92a42614-e19c-41d0-b96b-4987a905043b;127049559;Земельный участок 4А1;10;74192222;2025-09-30;2017-03-23;2025-09-30;0;0
1041408;85591504;836c7920-1aa1-41a0-9140-b5a8ce52bcb6;127074408;Земельный участок 10А5;10;74192223;2025-09-30;2017-03-23;2025-09-30;0;0
74192225;87847571;9ca3693a-f0d1-452c-b52c-dc41768730d4;689742871;7А1;30;0;2025-09-30;2025-09-30;2079-06-06;1;0
74192226;89148259;7a3ec0b5-26cb-4982-9590-fb5213137588;689742872;6А2;30;0;2025-09-30;2025-09-30;2079-06-06;1;0
74192228;174963694;ad46b9dd-12c1-4b27-86bf-400d9faf33c3;689742875;100;10;0;2025-09-30;2025-09-30;2079-06-06;1;1
74192272;174963745;69b31e55-acb8-443b-88fd-576e150e291a;689742941;103;10;0;2025-09-30;2025-09-30;2079-06-06;1;1
74192302;174963788;19cbf4b8-5caa-4171-983c-7590eb28bf11;689743010;109а;10;0;2025-09-30;2025-09-30;2079-06-06;1;1
74192327;174963828;6b865165-e13d-4322-a0bb-d0dc478ba2ca;689743074;115;10;0;2025-09-30;2025-09-30;2079-06-06;1;1
74192280;174963758;ecbe9ede-6b1f-4bd9-9df1-72243bd0105c;689742964;106;10;0;2025-09-30;2025-09-30;2079-06-06;1;1
74192297;174963782;97a603d0-4c2f-4df2-9eb6-819faa4f05dc;689743000;108;10;0;2025-09-30;2025-09-30;2079-06-06;1;1
74192314;174963811;546979ca-737e-4596-b506-0aa4114d4523;689743053;113;10;0;2025-09-30;2025-09-30;2079-06-06;1;1
74192342;174963849;90457793-3ee9-4fe7-8ff4-57fdfb5530d5;689743111;147;10;0;2025-09-30;2025-09-30;2079-06-06;1;1
74192390;174963908;0d5c20d0-e685-4d2d-9329-03ec152fcf24;689743235;132;10;0;2025-09-30;2025-09-30;2079-06-06;1;1
74192384;174963901;f424c45f-64d1-4421-89c4-6dc64dccf079;689743226;117;10;0;2025-09-30;2025-09-30;2079-06-06;1;1
74192987;174964795;095427bb-a1cd-4844-b440-c6fedeafcab0;689745214;271;10;0;2025-09-30;2025-09-30;2079-06-06;1;1
74192989;174964797;c4c421b4-3587-42c6-8d52-cf935beaf44d;689745216;828;10;0;2025-09-30;2025-09-30;2079-06-06;1;1
74192991;174964799;0444eeff-90da-4334-b196-320cfa492d18;689745218;550;10;0;2025-09-30;2025-09-30;2079-06-06;1;1
74192993;174964801;771aaffb-6607-4fbf-aed7-dedd833c4969;689745220;88;10;0;2025-09-30;2025-09-30;2079-06-06;1;1
74192995;174964803;f2431999-8729-4c51-821f-d8ae6d5432ca;689745222;234;10;0;2025-09-30;2025-09-30;2079-06-06;1;1
74192997;174964805;3a08ced2-be17-47b2-bc6d-ca03f794efb4;689745224;837/838;10;0;2025-09-30;2025-09-30;2079-06-06;1;1
74192999;174964807;e7b3bbb1-fac3-4a3e-956a-8ab976bb2cc0;689745226;189;10;0;2025-09-30;2025-09-30;2079-06-06;1;1
74193001;174964809;cda9c1ec-ddc9-45d0-8790-09c527c08ab1;689745228;153;10;0;2025-09-30;2025-09-30;2079-06-06;1;1
74193003;174964811;57ba055c-881b-4ae8-8d92-fae2514a2eae;689745230;592;10;0;2025-09-30;2025-09-30;2079-06-06;1;1
74193005;174964813;305d1754-1357-4e2f-9204-43927fdae33b;689745232;436;10;0;2025-09-30;2025-09-30;2079-06-06;1;1
74193007;174964815;cfb2ecfa-f25a-4d96-99c5-8442c91ad284;689745234;779;10;0;2025-09-30;2025-09-30;2079-06-06;1;1
74193009;174964817;652d7af5-9bca-4842-960b-b0ab6e28da2f;689745236;486;10;0;2025-09-30;2025-09-30;2079-06-06;1;1
74193011;174964819;e07bd47d-7698-496f-b77a-e5964e685088;689745238;648;10;0;2025-09-30;2025-09-30;2079-06-06;1;1
74193013;174964821;30081e57-391a-4013-915f-801665ee3f7a;689745240;551;10;0;2025-09-30;2025-09-30;2079-06-06;1;1
74192944;174964723;18cf5236-1ef5-4c0a-a5aa-6a5bc8e8c631;689745063;14;10;0;2025-09-30;2025-09-30;2079-06-06;1;1
74193176;174965492;be1aa034-477d-426a-8a2f-fcc522c88c9f;689746266;18;10;0;2025-09-30;2025-09-30;2079-06-06;1;1
